t_cam_ns,t_recv_ns,frame_id,cx,cy,vx,vy,conf,x,y,z,roll,pitch,yaw,gripper,cartesian_v,joint_v
1757819276026663047,1757819276033499730,34,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276059989318,1757819276067050298,35,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276093334058,1757819276100258937,36,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276126702831,1757819276133738637,37,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276160088894,1757819276168346681,38,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276193439838,1757819276200393629,39,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276226709590,1757819276233633699,40,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276260077591,1757819276267316506,41,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276293642043,1757819276301645465,42,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276326851119,1757819276335003169,43,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276360269010,1757819276367634189,44,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276393666346,1757819276401963404,45,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276427106295,1757819276434071756,46,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276460425556,1757819276467800033,47,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276493798803,1757819276501051823,48,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276527192366,1757819276534332235,49,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276560591165,1757819276567770867,50,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276594003140,1757819276601037207,51,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276627315455,1757819276634398882,52,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276660600276,1757819276667777620,53,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276694055644,1757819276700996946,54,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276727374441,1757819276735183979,55,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276760740912,1757819276768447582,56,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276794193807,1757819276802013512,57,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276827496646,1757819276835640234,58,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276860857558,1757819276869006483,59,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276894308312,1757819276901418572,60,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276927628265,1757819276935031081,61,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276960986019,1757819276968099882,62,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819276994426975,1757819277001939182,63,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277027786666,1757819277034801976,64,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277061177766,1757819277068586685,65,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277094592071,1757819277102090524,66,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277127948925,1757819277134921781,67,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277161317829,1757819277168545660,68,321,247,0.0,0.0,0.26031050086021423,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277194716184,1757819277201780414,69,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277227989245,1757819277235254943,70,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277261479192,1757819277268640792,71,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277294777792,1757819277301985160,72,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277328148152,1757819277335178120,73,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277361582825,1757819277368891767,74,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277394914638,1757819277402056070,75,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277428302481,1757819277435610009,76,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277461649508,1757819277468913041,77,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277494965240,1757819277502033944,78,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277528379879,1757819277535364759,79,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277561819197,1757819277568935007,80,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277595069667,1757819277602165544,81,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277628406018,1757819277635632131,82,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277661864788,1757819277669038947,83,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277695199665,1757819277702088292,84,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
