t_cam_ns,frame_id,ball_px_cx,ball_px_cy,ball_px_radius,ball_cam_x,ball_cam_y,ball_cam_z,ball_world_x,ball_world_y,ball_world_z,ball_world_vx,ball_world_vy,ball_world_vz,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,gripper_ratio
1758245370795744253,10,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,-0.0005551701869987193,0.001941779845714713,0.03727769448329507,0.3148117711333731,-0.002282541711315741,0.44680238716759246,0.11772548572458315,0.17926873114258216,-0.006022308108077496,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555827335681161,-1.266103341179589,0.6164761248980402,-2.5021986139999197,0.7476656932466443,1.4522167528502892,-0.10153690404429871,0.0004615867972548876,0.001195447762933427,0.0008177518343097327,0.000395178454249595,-0.0005262192435980768,-0.0008153244724005379,0.0013561889464644278,0.0012263879179954529
1758245370896419145,11,684,422,35.0,1.227,-0.05962699608783844,-0.09869988471824422,1.1292769039564519,0.06022380828574515,0.05962613526085225,0.0005937302016614193,-0.002076648505956627,-0.03986686169654419,0.3148122557035256,-0.0022813591646742397,0.44680175536649636,0.11772870948935411,0.17926681140820191,-0.006024542195130104,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555891255492405,-1.266103591698967,0.6164789859216528,-2.5021929683213804,0.7476657728648346,1.4522163878585475,-0.10153265334185399,-0.0010437520870228377,-0.00011711206176475081,-0.0009799575638041798,0.0005623363648130907,0.0005046897581993908,0.001264754226020425,-0.0010723934412135037,0.0012263879179954529
1758245370993780604,12,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,-0.0006139361975810327,0.002147321601447496,0.041223622128326184,0.31481206006373036,-0.00228340442248692,0.4468024143069287,0.11772286056541666,0.17926961674514388,-0.006023542252901148,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844460653575,-1.2661034857309599,0.6164757556714109,-2.5021979622417154,0.7476649370900826,1.4522190387865026,-0.10153584220008384,0.0005675418343469695,0.0005461588389124542,0.0010055013320149574,-0.0010753076437408486,0.0005275116814621213,-0.0005881014730456153,0.0007058240021345869,0.0012263879179954529
1758245371096020159,13,684,422,35.0,1.227,-0.05962699608783844,-0.09869988471824422,1.1292769039564519,0.06022380828574515,0.05962613526085225,0.000584643819404355,-0.002044867703690071,-0.039256743592815155,0.31481244728503255,-0.002281445410143168,0.4468030003664489,0.1177339041957788,0.17926934353613347,-0.006022141854556913,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555861585756686,-1.2661035904391706,0.6164772032713718,-2.5021954102835284,0.7476638203846223,1.4522132609349556,-0.10153721268803248,-0.0010759770586916966,-0.0003645224284715111,-0.0007951406800619124,0.0007184935603827991,-0.0003533329109257132,0.000716739501191411,-0.0008699529164623646,0.0012263879179954529
1758245371195229476,14,684,422,35.0,1.23,-0.05978027885413109,-0.09895361192831682,1.129321734249399,0.06006700851270078,0.05661594126409364,0.0004518758348796791,-0.0015804944312273685,-0.030341847800026828,0.31481226348984154,-0.0022816356849845905,0.4468049266998223,0.11773341876374434,0.17927194913041883,-0.006020273402439784,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555861556372065,-1.2661055631642988,0.6164779010674334,-2.5021992070618038,0.7476675919541601,1.4522191743160704,-0.10154080036656282,0.00015103102181363189,0.00023893419240251672,0.0005051760840022807,-0.0020390181102434425,-0.0005344485463352395,-0.0005959178067031241,0.0003978288284780544,0.0012181922793388367
1758245371296223426,15,684,422,35.0,1.225,-0.05952480757697669,-0.09853073324486247,1.1292470170944873,0.06032834146777472,0.061632931258691404,-0.0007398181268462866,0.0025876100011331333,0.04967614391354893,0.31481293468571064,-0.0022817559344942375,0.4468027416654684,0.11773672054532011,0.17926787644078837,-0.006023168080772344,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555827335850772,-1.2661035122745596,0.6164789063402009,-2.5021948674582206,0.7476650591823298,1.4522167528503886,-0.10154399914849697,6.863510544767111e-05,0.00040540025654100723,-0.0009519188742688944,-0.000393295942426899,-0.00030893121726137255,-0.0003779979522032508,0.001478664097495685,0.0012181922793388367
1758245371394245023,16,684,422,35.0,1.224,-0.059473713321545794,-0.09844615750817161,1.1292320736635049,0.060380608058789496,0.06263632925761131,-0.00015245039297213158,0.0005332150527477536,0.010236499196395547,0.3148125198521601,-0.0022808512517836547,0.4468040991369418,0.11773396078729231,0.17926868756517278,-0.006020794719164678,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555807356547108,-1.2661022297769031,0.6164769648547312,-2.5021933802383947,0.7476653568445922,1.452214371764867,-0.10153841928047468,-0.0008990690313639202,-0.0019073782275506811,-0.0003056272975707824,0.0007039334684031842,0.000701667739463916,0.0008677003629464826,0.0019104473313131779,0.0012263879179954529
1758245371494187388,17,684,422,35.0,1.23,-0.05978027885413109,-0.09895361192831682,1.129321734249399,0.06006700851270078,0.05661594126409364,0.000897122915734618,-0.0031378039341846036,-0.06023859845139419,0.3148130010262313,-0.002282649053632477,0.44680249773122377,0.1177275586316526,0.17927180543294557,-0.006024940478327964,0.0,0.0,0.0,0.0,0.0,0.0,-1.155586159583702,-1.2660989917363288,0.6164753411980779,-2.502195605188872,0.7476642172583193,1.4522167920964397,-0.10153801758323552,3.4017391977328535e-06,0.0009701036476266142,-0.00016035047144960567,-0.0006592935581545304,1.523087982760571e-05,0.000676752577246917,0.0012073756400014792,0.0012263879179954529
1758245371594112350,18,684,423,35.0,1.221,-0.05932043055525315,-0.0999986667143766,1.129099752891026,0.058734276335955835,0.06558689939026863,-0.0022214805382966838,-0.013337329833009575,0.0897769480880562,0.3148120038906627,-0.0022838628218905966,0.4468000553364822,0.11772457902051466,0.1792626729266524,-0.006028129980965507,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555861585624785,-1.2660990064535176,0.6164750593751628,-2.5021965728093845,0.74766768059682,1.4522167572647724,-0.10153841928049949,-0.00016302764703688238,0.0011069974090152348,-0.000474540588202773,-0.003132511056988373,-0.0013196433058958032,7.533915068153769e-05,0.0005930610229585569,0.0012263879179954529
1758245371695378582,19,684,422,35.0,1.227,-0.05962699608783844,-0.09869988471824422,1.1292769039564519,0.06022380828574515,0.05962613526085225,0.0017493597019173966,0.014709068564823454,-0.058862307915400404,0.31481193897968585,-0.002283772607659071,0.4468031143955379,0.11771926400364206,0.179272748294684,-0.006021580568697358,0.0,0.0,0.0,0.0,0.0,0.0,-1.155590144712003,-1.2661026487854539,0.6164781488649417,-2.5022012899256834,0.747664649445544,1.4522160126748287,-0.10153776407208298,0.0006147665838910687,0.0008413960533889746,0.0019370531233323424,-0.0012281066618840411,-0.00030501504817521816,-6.863902120550535e-05,-0.0010028434598854145,0.0012263879179954529
