t_ns,cx,cy,r_px,bx,by,bz,ee_x,ee_y,ee_z,ee_r,ee_p,ee_yaw,vx,vy,vz,wx,wy,wz
1758229623743064268,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623776478164,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623809926749,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623842127346,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623875758335,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623909651067,212,289,25.0,-0.19685853658536584,0.08931544715447155,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623943217502,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623976742724,212,289,25.0,-0.19598048780487806,0.08891707317073172,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624010151326,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624043673503,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624076964128,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624110335792,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624143517471,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624178161281,212,289,25.0,-0.19598048780487806,0.08891707317073172,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624209884467,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624243520055,212,289,25.0,-0.19685853658536584,0.08931544715447155,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624276777765,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624310270365,212,288,25.0,-0.19598048780487806,0.08710243902439026,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624343575103,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624376872762,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624410144917,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624443626631,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624476929881,211,288,25.0,-0.19797235772357724,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624510376703,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624544035975,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624578291823,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624611982036,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624644649715,211,287,25.0,-0.1986813008130081,0.08566991869918698,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624678034532,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624715440290,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624744636508,211,288,25.0,-0.19814959349593497,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624776859979,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624810270013,211,287,25.0,-0.19797235772357724,0.08536422764227643,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624843757259,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624877470832,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624911161528,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624944489330,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229624977877594,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625011192213,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625044575199,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625077930261,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625111354707,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625144800723,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625178054494,212,289,25.0,-0.1963317073170732,0.08907642276422764,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625211422067,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625244740629,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625278153581,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625311555334,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625344784874,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625378201868,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625411648334,211,287,25.0,-0.1986813008130081,0.08566991869918698,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625445024305,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229625478511500,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
